City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
470,Lorengau,PG,81.79,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
471,Camacha,PT,70.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
472,Shahganj,IN,82.06,very heavy rain,26.05,82.6833,Sher-E-Panjab family restaurant and Dhaba
473,Namatanai,PG,79.5,light rain,-3.6667,152.4333,Seagulls Inn Namatani
478,Katobu,ID,73.45,overcast clouds,-4.9408,122.5276,La Ode Husein
479,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
480,Noumea,NC,70.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
481,Gazanjyk,TM,83.98,clear sky,39.2446,55.5154,Railway motel
484,New Bern,US,93.49,clear sky,35.1085,-77.0441,Hampton Inn New Bern
485,Ketchikan,US,72.07,clear sky,55.3422,-131.6461,Snows Cove Lodge
486,Mitsuke,JP,77.36,clear sky,37.5333,138.9333,原の湯
488,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Laguna Beach Hotel & Spa
490,Amahai,ID,76.77,broken clouds,-3.3333,128.9167,HOTEL ISABELA
491,Sao Filipe,CV,75.49,broken clouds,14.8961,-24.4956,Hotel Xaguate
492,Tiznit,MA,82.38,few clouds,29.5833,-9.5,عين اغبالو
493,Marsh Harbour,BS,85.17,few clouds,26.5412,-77.0636,Abaco Beach Resort
495,Jiuquan,CN,76.35,clear sky,39.7432,98.5174,Jiuquan Hotel
499,Varca,IN,79.16,overcast clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
500,Bull Savanna,JM,83.19,light rain,17.8868,-77.5902,Big Red's
501,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
502,Kieta,PG,80.1,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
504,Aligudarz,IR,73.47,broken clouds,33.4006,49.6949,کوچه شهید محمد جواد رشیدی
508,Kyabe,TD,73.67,moderate rain,9.4515,18.9449,
509,Bismarck,US,86.86,smoke,46.8083,-100.7837,Ramkota Hotel & Conference Center
511,Liuhe,CN,72.84,overcast clouds,42.2401,125.7172,Grain Hostel
512,Tanout,NE,89.44,scattered clouds,14.9709,8.8879,
513,El Alto,PE,71.26,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
514,Bani,DO,87.75,clear sky,18.2833,-70.3333,Hospedaje Henriquez
516,Kismayo,SO,75.43,overcast clouds,-0.3582,42.5454,Agan-Hotel
519,Bitkine,TD,78.28,moderate rain,11.9801,18.2138,
520,Artyom,AZ,77.14,clear sky,40.4723,50.333,Merdan Respect
522,Sipe Sipe,BO,70.29,few clouds,-17.45,-66.3833,Cabañas Oasis Marino
523,Tura,IN,74.62,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
525,Lasa,IT,71.51,broken clouds,46.6166,10.7002,Hotel Goldene Rose Superior
526,Whitehorse,CA,75.09,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
530,Bairiki,KI,84.2,light rain,1.3292,172.9752,Fema Lodge
533,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
535,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,Al Jabal
536,Kawalu,ID,71.87,overcast clouds,-7.3817,108.2082,Hotel Santika Tasikmalaya
537,Eregli,TR,72.61,clear sky,37.5133,34.0467,CHERRY GARDEN CITY&SPA HOTEL
538,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Union Motel
539,Alpena,US,71.92,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
542,Nalut,LY,89.13,clear sky,30.3333,10.85,
543,Pimentel,PE,71.89,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
546,Dwarka,IN,81.86,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
554,Tazmalt,DZ,90.64,overcast clouds,36.3868,4.3989,Hôtel Numédia
555,Davila,PH,81.59,light rain,18.4726,120.5763,Blue Ridge Beach Resort
556,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Holiday Inn Resort Aruba-Beach Resort & Casino
558,Sompeta,IN,81.19,overcast clouds,18.9333,84.6,Netaji's Home
559,Guerrero Negro,MX,83.07,few clouds,27.9769,-114.0611,The Halfway Inn
560,Novo Aripuana,BR,90.12,clear sky,-5.1206,-60.3797,Hotel Ezequiel
561,Mastic Beach,US,84.16,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
562,Oriximina,BR,74.32,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
563,Margherita,IN,74.53,light rain,27.2833,95.6833,Dehing Guest House
564,Eureka,US,75.13,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
565,El Carmen,CO,80.76,broken clouds,8.5106,-73.4478,La Casona
568,Buta,CD,70.5,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
569,Temir,KZ,77.22,clear sky,49.1414,57.13,
570,Beyneu,KZ,85.1,few clouds,45.3167,55.2,NUR
572,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
575,Jacqueville,CI,78.71,broken clouds,5.2052,-4.4146,Baie des Romances
576,Roma,US,70.43,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
577,Nawa,IN,81.01,broken clouds,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
579,Sao Geraldo Do Araguaia,BR,87.64,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
581,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
583,Safaga,EG,89.17,broken clouds,26.7292,33.9365,Sol Y Mar Paradise Beach
584,Sfantu Gheorghe,RO,73.27,clear sky,45.8667,25.7833,Hotel Park
585,Champerico,GT,91.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
588,Odienne,CI,71.37,moderate rain,9.51,-7.5692,Oustaz Vame DIAKITE
589,Sinnamary,GF,81.12,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
590,Waingapu,ID,72.18,few clouds,-9.6567,120.2641,Pondok Wisata Elim
591,Palmerston,AU,74.88,fog,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
593,Sarakhs,IR,73.54,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
598,Honiara,SB,79.63,broken clouds,-9.4333,159.95,Heritage Park Hotel
600,Sabang,ID,82.62,overcast clouds,5.8933,95.3214,Gapang Beach Resort
601,Chaohu,CN,81.03,clear sky,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
602,Manggar,ID,80.08,scattered clouds,-2.8833,108.2667,Guest Hotel
